,scientific_name,park_name,observations,category,common_names,conservation_status
3115,Oryzopsis asperifolia,Yosemite National Park,157,Vascular Plant,"Roughleaf Ricegrass, White-Grain Mountain-Rice Gras",
3116,Juncus bufonius var. bufonius,Yellowstone National Park,255,Vascular Plant,Toad Rush,
3117,Juncus bufonius var. bufonius,Great Smoky Mountains National Park,73,Vascular Plant,Toad Rush,
3118,Juncus bufonius var. bufonius,Yosemite National Park,153,Vascular Plant,Toad Rush,
3119,Juncus bufonius var. bufonius,Bryce National Park,117,Vascular Plant,Toad Rush,
3120,Ulota crispa,Great Smoky Mountains National Park,108,Nonvascular Plant,Ulota Moss,
3121,Ulota crispa,Yellowstone National Park,293,Nonvascular Plant,Ulota Moss,
3122,Ulota crispa,Yosemite National Park,149,Nonvascular Plant,Ulota Moss,
3123,Ulota crispa,Bryce National Park,129,Nonvascular Plant,Ulota Moss,
3124,Podistera nevadensis,Yellowstone National Park,215,Vascular Plant,Nevada Podistera,
3125,Podistera nevadensis,Yosemite National Park,121,Vascular Plant,Nevada Podistera,
3126,Podistera nevadensis,Bryce National Park,79,Vascular Plant,Nevada Podistera,
3127,Podistera nevadensis,Great Smoky Mountains National Park,83,Vascular Plant,Nevada Podistera,
3128,Coragyps atratus,Yosemite National Park,150,Bird,Black Vulture,
3129,Coragyps atratus,Yellowstone National Park,286,Bird,Black Vulture,
3130,Coragyps atratus,Great Smoky Mountains National Park,61,Bird,Black Vulture,
3131,Coragyps atratus,Bryce National Park,90,Bird,Black Vulture,
3132,Tyto alba,Yellowstone National Park,235,Bird,"Barn Owl, Common Barn-Owl",
3133,Tyto alba,Yellowstone National Park,235,Bird,Barn Owl,
3134,Tyto alba,Great Smoky Mountains National Park,92,Bird,"Barn Owl, Common Barn-Owl",
3135,Tyto alba,Great Smoky Mountains National Park,92,Bird,Barn Owl,
3136,Tyto alba,Yosemite National Park,133,Bird,"Barn Owl, Common Barn-Owl",
3137,Tyto alba,Yosemite National Park,133,Bird,Barn Owl,
3138,Tyto alba,Yosemite National Park,143,Bird,"Barn Owl, Common Barn-Owl",
3139,Tyto alba,Yosemite National Park,143,Bird,Barn Owl,
3140,Tyto alba,Yellowstone National Park,247,Bird,"Barn Owl, Common Barn-Owl",
3141,Tyto alba,Yellowstone National Park,247,Bird,Barn Owl,
3142,Tyto alba,Bryce National Park,84,Bird,"Barn Owl, Common Barn-Owl",
3143,Tyto alba,Bryce National Park,84,Bird,Barn Owl,
3144,Tyto alba,Bryce National Park,96,Bird,"Barn Owl, Common Barn-Owl",
3145,Tyto alba,Bryce National Park,96,Bird,Barn Owl,
3146,Tyto alba,Great Smoky Mountains National Park,67,Bird,"Barn Owl, Common Barn-Owl",
3147,Tyto alba,Great Smoky Mountains National Park,67,Bird,Barn Owl,
3148,Piptatherum exiguum,Yosemite National Park,101,Vascular Plant,Little Ricegrass,
3149,Piptatherum exiguum,Bryce National Park,94,Vascular Plant,Little Ricegrass,
3150,Piptatherum exiguum,Great Smoky Mountains National Park,112,Vascular Plant,Little Ricegrass,
3151,Piptatherum exiguum,Yellowstone National Park,265,Vascular Plant,Little Ricegrass,
3152,Spilogale putorius,Yellowstone National Park,256,Mammal,Eastern Spotted Skunk,
3153,Spilogale putorius,Yellowstone National Park,256,Mammal,Spotted Skunk,
3154,Spilogale putorius,Great Smoky Mountains National Park,103,Mammal,Eastern Spotted Skunk,
3155,Spilogale putorius,Great Smoky Mountains National Park,103,Mammal,Spotted Skunk,
3156,Spilogale putorius,Great Smoky Mountains National Park,57,Mammal,Eastern Spotted Skunk,
3157,Spilogale putorius,Great Smoky Mountains National Park,57,Mammal,Spotted Skunk,
3158,Spilogale putorius,Yosemite National Park,133,Mammal,Eastern Spotted Skunk,
3159,Spilogale putorius,Yosemite National Park,133,Mammal,Spotted Skunk,
3160,Spilogale putorius,Yosemite National Park,141,Mammal,Eastern Spotted Skunk,
3161,Spilogale putorius,Yosemite National Park,141,Mammal,Spotted Skunk,
3162,Spilogale putorius,Bryce National Park,116,Mammal,Eastern Spotted Skunk,
3163,Spilogale putorius,Bryce National Park,116,Mammal,Spotted Skunk,
3164,Spilogale putorius,Yellowstone National Park,256,Mammal,Eastern Spotted Skunk,
3165,Spilogale putorius,Yellowstone National Park,256,Mammal,Spotted Skunk,
3166,Spilogale putorius,Bryce National Park,72,Mammal,Eastern Spotted Skunk,
3167,Spilogale putorius,Bryce National Park,72,Mammal,Spotted Skunk,
3168,Physostegia virginiana,Yosemite National Park,183,Vascular Plant,"False Dragonhead, False Dragon-Head",
3169,Physostegia virginiana,Great Smoky Mountains National Park,75,Vascular Plant,"False Dragonhead, False Dragon-Head",
3170,Physostegia virginiana,Bryce National Park,110,Vascular Plant,"False Dragonhead, False Dragon-Head",
3171,Physostegia virginiana,Yellowstone National Park,255,Vascular Plant,"False Dragonhead, False Dragon-Head",
3172,Hieracium gronovii,Great Smoky Mountains National Park,102,Vascular Plant,Hairy Hawkweed,
3173,Hieracium gronovii,Bryce National Park,85,Vascular Plant,Hairy Hawkweed,
3174,Hieracium gronovii,Yellowstone National Park,265,Vascular Plant,Hairy Hawkweed,
3175,Hieracium gronovii,Yosemite National Park,139,Vascular Plant,Hairy Hawkweed,
3176,Cymophyllus fraserianus,Yosemite National Park,132,Vascular Plant,Fraser's Sedge,
3177,Cymophyllus fraserianus,Great Smoky Mountains National Park,70,Vascular Plant,Fraser's Sedge,
3178,Cymophyllus fraserianus,Bryce National Park,144,Vascular Plant,Fraser's Sedge,
3179,Cymophyllus fraserianus,Yellowstone National Park,234,Vascular Plant,Fraser's Sedge,
3180,Plagiomnium cuspidatum,Yellowstone National Park,252,Nonvascular Plant,Toothed Plagiomnium Moss,
3181,Plagiomnium cuspidatum,Bryce National Park,87,Nonvascular Plant,Toothed Plagiomnium Moss,
3182,Plagiomnium cuspidatum,Yosemite National Park,144,Nonvascular Plant,Toothed Plagiomnium Moss,
3183,Plagiomnium cuspidatum,Great Smoky Mountains National Park,83,Nonvascular Plant,Toothed Plagiomnium Moss,
3184,Cynanchum laeve,Yellowstone National Park,236,Vascular Plant,Cynanchum,
3185,Cynanchum laeve,Great Smoky Mountains National Park,36,Vascular Plant,Cynanchum,
3186,Cynanchum laeve,Bryce National Park,70,Vascular Plant,Cynanchum,
3187,Cynanchum laeve,Yosemite National Park,114,Vascular Plant,Cynanchum,
3188,Empidonax alnorum,Yellowstone National Park,228,Bird,Alder Flycatcher,
3189,Empidonax alnorum,Great Smoky Mountains National Park,62,Bird,Alder Flycatcher,
3190,Empidonax alnorum,Yosemite National Park,143,Bird,Alder Flycatcher,
3191,Empidonax alnorum,Bryce National Park,85,Bird,Alder Flycatcher,
3192,Adenocaulon bicolor,Yosemite National Park,130,Vascular Plant,American Trailplant,
3193,Adenocaulon bicolor,Bryce National Park,123,Vascular Plant,American Trailplant,
3194,Adenocaulon bicolor,Yellowstone National Park,210,Vascular Plant,American Trailplant,
3195,Adenocaulon bicolor,Great Smoky Mountains National Park,97,Vascular Plant,American Trailplant,
3196,Claytonia virginica,Yosemite National Park,146,Vascular Plant,"Narrow-Leaved Spring Beauty, Narrow-Leaved Spring-Beauty",
3197,Claytonia virginica,Yellowstone National Park,263,Vascular Plant,"Narrow-Leaved Spring Beauty, Narrow-Leaved Spring-Beauty",
3198,Claytonia virginica,Great Smoky Mountains National Park,62,Vascular Plant,"Narrow-Leaved Spring Beauty, Narrow-Leaved Spring-Beauty",
3199,Claytonia virginica,Bryce National Park,135,Vascular Plant,"Narrow-Leaved Spring Beauty, Narrow-Leaved Spring-Beauty",
3200,Peltandra virginica,Yosemite National Park,128,Vascular Plant,"Arrow Arum, Green Arrow-Arum",
3201,Peltandra virginica,Great Smoky Mountains National Park,51,Vascular Plant,"Arrow Arum, Green Arrow-Arum",
3202,Peltandra virginica,Bryce National Park,61,Vascular Plant,"Arrow Arum, Green Arrow-Arum",
3203,Peltandra virginica,Yellowstone National Park,219,Vascular Plant,"Arrow Arum, Green Arrow-Arum",
3204,Malaxis unifolia,Yellowstone National Park,259,Vascular Plant,"Adder's Mouth, Green Adder's-Mouth",
3205,Malaxis unifolia,Great Smoky Mountains National Park,56,Vascular Plant,"Adder's Mouth, Green Adder's-Mouth",
3206,Malaxis unifolia,Bryce National Park,90,Vascular Plant,"Adder's Mouth, Green Adder's-Mouth",
3207,Malaxis unifolia,Yosemite National Park,146,Vascular Plant,"Adder's Mouth, Green Adder's-Mouth",
3208,Arabis platysperma var. howellii,Yosemite National Park,135,Vascular Plant,Howell's Pioneer Rockcress,
3209,Arabis platysperma var. howellii,Great Smoky Mountains National Park,39,Vascular Plant,Howell's Pioneer Rockcress,
3210,Arabis platysperma var. howellii,Bryce National Park,95,Vascular Plant,Howell's Pioneer Rockcress,
3211,Arabis platysperma var. howellii,Yellowstone National Park,267,Vascular Plant,Howell's Pioneer Rockcress,
3212,Carex nebrascensis,Yosemite National Park,145,Vascular Plant,Nebraska Sedge,
3213,Carex nebrascensis,Yellowstone National Park,226,Vascular Plant,Nebraska Sedge,
3214,Carex nebrascensis,Bryce National Park,74,Vascular Plant,Nebraska Sedge,
3215,Carex nebrascensis,Great Smoky Mountains National Park,97,Vascular Plant,Nebraska Sedge,
3216,Luzula glabrata var. hitchcockii,Bryce National Park,143,Vascular Plant,Hitchcock's Smooth Woodrush,
3217,Luzula glabrata var. hitchcockii,Yosemite National Park,138,Vascular Plant,Hitchcock's Smooth Woodrush,
3218,Luzula glabrata var. hitchcockii,Yellowstone National Park,240,Vascular Plant,Hitchcock's Smooth Woodrush,
3219,Luzula glabrata var. hitchcockii,Great Smoky Mountains National Park,25,Vascular Plant,Hitchcock's Smooth Woodrush,
3220,Grindelia nana,Yellowstone National Park,236,Vascular Plant,Idaho Gumweed,
3221,Grindelia nana,Yosemite National Park,151,Vascular Plant,Idaho Gumweed,
3222,Grindelia nana,Bryce National Park,76,Vascular Plant,Idaho Gumweed,
3223,Grindelia nana,Great Smoky Mountains National Park,109,Vascular Plant,Idaho Gumweed,
3224,Viburnum dentatum,Bryce National Park,97,Vascular Plant,"Arrow-Wood, Southern Arrow-Wood",
3225,Viburnum dentatum,Yosemite National Park,145,Vascular Plant,"Arrow-Wood, Southern Arrow-Wood",
3226,Viburnum dentatum,Great Smoky Mountains National Park,62,Vascular Plant,"Arrow-Wood, Southern Arrow-Wood",
3227,Viburnum dentatum,Yellowstone National Park,273,Vascular Plant,"Arrow-Wood, Southern Arrow-Wood",
3228,Carex swanii,Yosemite National Park,139,Vascular Plant,"Swan Sedge, Swan's Sedge",
3229,Carex swanii,Yellowstone National Park,302,Vascular Plant,"Swan Sedge, Swan's Sedge",
3230,Carex swanii,Great Smoky Mountains National Park,64,Vascular Plant,"Swan Sedge, Swan's Sedge",
3231,Carex swanii,Bryce National Park,98,Vascular Plant,"Swan Sedge, Swan's Sedge",
3232,Corallorrhiza trifida,Yosemite National Park,146,Vascular Plant,"Early Coralroot, Yellow Coralroot",
3233,Corallorrhiza trifida,Great Smoky Mountains National Park,95,Vascular Plant,"Early Coralroot, Yellow Coralroot",
3234,Corallorrhiza trifida,Bryce National Park,116,Vascular Plant,"Early Coralroot, Yellow Coralroot",
3235,Corallorrhiza trifida,Yellowstone National Park,241,Vascular Plant,"Early Coralroot, Yellow Coralroot",
3236,Lysimachia fraseri,Yellowstone National Park,238,Vascular Plant,Fraser's Loosestrife,Species of Concern
3237,Lysimachia fraseri,Great Smoky Mountains National Park,80,Vascular Plant,Fraser's Loosestrife,Species of Concern
3238,Lysimachia fraseri,Yosemite National Park,142,Vascular Plant,Fraser's Loosestrife,Species of Concern
3239,Lysimachia fraseri,Bryce National Park,86,Vascular Plant,Fraser's Loosestrife,Species of Concern
3240,Arabis glabra var. glabra,Great Smoky Mountains National Park,38,Vascular Plant,"Rock Cress, Tower Rockcress",
3241,Arabis glabra var. glabra,Yellowstone National Park,272,Vascular Plant,"Rock Cress, Tower Rockcress",
3242,Arabis glabra var. glabra,Yosemite National Park,130,Vascular Plant,"Rock Cress, Tower Rockcress",
3243,Arabis glabra var. glabra,Bryce National Park,89,Vascular Plant,"Rock Cress, Tower Rockcress",
3244,Trifolium hybridum,Bryce National Park,75,Vascular Plant,Alsike Clover,
3245,Trifolium hybridum,Yellowstone National Park,247,Vascular Plant,Alsike Clover,
3246,Trifolium hybridum,Yosemite National Park,141,Vascular Plant,Alsike Clover,
3247,Trifolium hybridum,Great Smoky Mountains National Park,95,Vascular Plant,Alsike Clover,
3248,Epilobium oreganum,Bryce National Park,60,Vascular Plant,"Grants Pass Willowherb, Oregon Fireweed",Species of Concern
3249,Epilobium oreganum,Yellowstone National Park,212,Vascular Plant,"Grants Pass Willowherb, Oregon Fireweed",Species of Concern
3250,Epilobium oreganum,Great Smoky Mountains National Park,69,Vascular Plant,"Grants Pass Willowherb, Oregon Fireweed",Species of Concern
3251,Epilobium oreganum,Yosemite National Park,121,Vascular Plant,"Grants Pass Willowherb, Oregon Fireweed",Species of Concern
3252,Epipactis gigantea,Bryce National Park,71,Vascular Plant,"Giant Helleborine, Stream Orchid",
3253,Epipactis gigantea,Yellowstone National Park,249,Vascular Plant,"Giant Helleborine, Stream Orchid",
3254,Epipactis gigantea,Great Smoky Mountains National Park,47,Vascular Plant,"Giant Helleborine, Stream Orchid",
3255,Epipactis gigantea,Yosemite National Park,137,Vascular Plant,"Giant Helleborine, Stream Orchid",
3256,Hibiscus syriacus,Yosemite National Park,159,Vascular Plant,"Rose-Of-Sharon, Rose-Of-Sharon, Shrubby Althea",
3257,Hibiscus syriacus,Yellowstone National Park,234,Vascular Plant,"Rose-Of-Sharon, Rose-Of-Sharon, Shrubby Althea",
3258,Hibiscus syriacus,Bryce National Park,51,Vascular Plant,"Rose-Of-Sharon, Rose-Of-Sharon, Shrubby Althea",
3259,Hibiscus syriacus,Great Smoky Mountains National Park,67,Vascular Plant,"Rose-Of-Sharon, Rose-Of-Sharon, Shrubby Althea",
3260,Carduus acanthoides,Yosemite National Park,147,Vascular Plant,Spiny Plumeless Thistle,
3261,Carduus acanthoides,Yosemite National Park,147,Vascular Plant,"Plumeless Thistle, Spiny Plumeless Thistle, Spiny Plumeless-Thistle",
3262,Carduus acanthoides,Great Smoky Mountains National Park,81,Vascular Plant,Spiny Plumeless Thistle,
3263,Carduus acanthoides,Great Smoky Mountains National Park,81,Vascular Plant,"Plumeless Thistle, Spiny Plumeless Thistle, Spiny Plumeless-Thistle",
3264,Carduus acanthoides,Yellowstone National Park,232,Vascular Plant,Spiny Plumeless Thistle,
3265,Carduus acanthoides,Yellowstone National Park,232,Vascular Plant,"Plumeless Thistle, Spiny Plumeless Thistle, Spiny Plumeless-Thistle",
3266,Carduus acanthoides,Yellowstone National Park,224,Vascular Plant,Spiny Plumeless Thistle,
3267,Carduus acanthoides,Yellowstone National Park,224,Vascular Plant,"Plumeless Thistle, Spiny Plumeless Thistle, Spiny Plumeless-Thistle",
3268,Carduus acanthoides,Great Smoky Mountains National Park,67,Vascular Plant,Spiny Plumeless Thistle,
3269,Carduus acanthoides,Great Smoky Mountains National Park,67,Vascular Plant,"Plumeless Thistle, Spiny Plumeless Thistle, Spiny Plumeless-Thistle",
3270,Carduus acanthoides,Yosemite National Park,165,Vascular Plant,Spiny Plumeless Thistle,
3271,Carduus acanthoides,Yosemite National Park,165,Vascular Plant,"Plumeless Thistle, Spiny Plumeless Thistle, Spiny Plumeless-Thistle",
3272,Carduus acanthoides,Bryce National Park,78,Vascular Plant,Spiny Plumeless Thistle,
3273,Carduus acanthoides,Bryce National Park,78,Vascular Plant,"Plumeless Thistle, Spiny Plumeless Thistle, Spiny Plumeless-Thistle",
3274,Carduus acanthoides,Bryce National Park,121,Vascular Plant,Spiny Plumeless Thistle,
3275,Carduus acanthoides,Bryce National Park,121,Vascular Plant,"Plumeless Thistle, Spiny Plumeless Thistle, Spiny Plumeless-Thistle",
3276,Streptopus lanceolatus var. lanceolatus,Bryce National Park,124,Vascular Plant,Twistedstalk,
3277,Streptopus lanceolatus var. lanceolatus,Great Smoky Mountains National Park,76,Vascular Plant,Twistedstalk,
3278,Streptopus lanceolatus var. lanceolatus,Yosemite National Park,184,Vascular Plant,Twistedstalk,
3279,Streptopus lanceolatus var. lanceolatus,Yellowstone National Park,232,Vascular Plant,Twistedstalk,
3280,Dicranodontium asperulum,Yellowstone National Park,279,Nonvascular Plant,Dicranodontium Moss,
3281,Dicranodontium asperulum,Great Smoky Mountains National Park,64,Nonvascular Plant,Dicranodontium Moss,
3282,Dicranodontium asperulum,Bryce National Park,104,Nonvascular Plant,Dicranodontium Moss,
3283,Dicranodontium asperulum,Yosemite National Park,163,Nonvascular Plant,Dicranodontium Moss,
3284,Lonicera flava,Bryce National Park,88,Vascular Plant,Yellow Honeysuckle,
3285,Lonicera flava,Yosemite National Park,168,Vascular Plant,Yellow Honeysuckle,
3286,Lonicera flava,Yellowstone National Park,268,Vascular Plant,Yellow Honeysuckle,
3287,Lonicera flava,Great Smoky Mountains National Park,106,Vascular Plant,Yellow Honeysuckle,
3288,Viola blanda var. palustriformis,Bryce National Park,97,Vascular Plant,"Large-Leaf White Violet, Large-Leaved Violet",
3289,Viola blanda var. palustriformis,Yellowstone National Park,256,Vascular Plant,"Large-Leaf White Violet, Large-Leaved Violet",
3290,Viola blanda var. palustriformis,Great Smoky Mountains National Park,47,Vascular Plant,"Large-Leaf White Violet, Large-Leaved Violet",
3291,Viola blanda var. palustriformis,Yosemite National Park,156,Vascular Plant,"Large-Leaf White Violet, Large-Leaved Violet",
3292,Rubus leucodermis,Bryce National Park,113,Vascular Plant,"Western Raspberry, Whitebark Raspberry",
3293,Rubus leucodermis,Yosemite National Park,112,Vascular Plant,"Western Raspberry, Whitebark Raspberry",
3294,Rubus leucodermis,Yellowstone National Park,247,Vascular Plant,"Western Raspberry, Whitebark Raspberry",
3295,Rubus leucodermis,Great Smoky Mountains National Park,62,Vascular Plant,"Western Raspberry, Whitebark Raspberry",
3296,Veronica americana,Bryce National Park,77,Vascular Plant,"American Speedwell, Brooklime",
3297,Veronica americana,Yellowstone National Park,237,Vascular Plant,"American Speedwell, Brooklime",
3298,Veronica americana,Great Smoky Mountains National Park,33,Vascular Plant,"American Speedwell, Brooklime",
3299,Veronica americana,Yosemite National Park,146,Vascular Plant,"American Speedwell, Brooklime",
3300,Lamium amplexicaule,Yosemite National Park,153,Vascular Plant,"Common Deadnettle, Henbit",
3301,Lamium amplexicaule,Yosemite National Park,153,Vascular Plant,"Common Henbit, Giraffehead, Henbit, Henbit Deadnettle",
3302,Lamium amplexicaule,Yellowstone National Park,240,Vascular Plant,"Common Deadnettle, Henbit",
3303,Lamium amplexicaule,Yellowstone National Park,240,Vascular Plant,"Common Henbit, Giraffehead, Henbit, Henbit Deadnettle",
3304,Lamium amplexicaule,Great Smoky Mountains National Park,106,Vascular Plant,"Common Deadnettle, Henbit",
3305,Lamium amplexicaule,Great Smoky Mountains National Park,106,Vascular Plant,"Common Henbit, Giraffehead, Henbit, Henbit Deadnettle",
3306,Lamium amplexicaule,Great Smoky Mountains National Park,34,Vascular Plant,"Common Deadnettle, Henbit",
3307,Lamium amplexicaule,Great Smoky Mountains National Park,34,Vascular Plant,"Common Henbit, Giraffehead, Henbit, Henbit Deadnettle",
3308,Lamium amplexicaule,Yellowstone National Park,276,Vascular Plant,"Common Deadnettle, Henbit",
3309,Lamium amplexicaule,Yellowstone National Park,276,Vascular Plant,"Common Henbit, Giraffehead, Henbit, Henbit Deadnettle",
3310,Lamium amplexicaule,Yosemite National Park,107,Vascular Plant,"Common Deadnettle, Henbit",
3311,Lamium amplexicaule,Yosemite National Park,107,Vascular Plant,"Common Henbit, Giraffehead, Henbit, Henbit Deadnettle",
3312,Lamium amplexicaule,Bryce National Park,102,Vascular Plant,"Common Deadnettle, Henbit",
3313,Lamium amplexicaule,Bryce National Park,102,Vascular Plant,"Common Henbit, Giraffehead, Henbit, Henbit Deadnettle",
3314,Lamium amplexicaule,Bryce National Park,106,Vascular Plant,"Common Deadnettle, Henbit",
3315,Lamium amplexicaule,Bryce National Park,106,Vascular Plant,"Common Henbit, Giraffehead, Henbit, Henbit Deadnettle",
3316,Bromus inermis var. inermis,Yosemite National Park,164,Vascular Plant,Smooth Brome,
3317,Bromus inermis var. inermis,Great Smoky Mountains National Park,85,Vascular Plant,Smooth Brome,
3318,Bromus inermis var. inermis,Yellowstone National Park,270,Vascular Plant,Smooth Brome,
3319,Bromus inermis var. inermis,Bryce National Park,118,Vascular Plant,Smooth Brome,
3320,Galium tinctorium,Great Smoky Mountains National Park,86,Vascular Plant,"Marsh Bedstraw, Stiff Marsh Bedstraw",
3321,Galium tinctorium,Yosemite National Park,180,Vascular Plant,"Marsh Bedstraw, Stiff Marsh Bedstraw",
3322,Galium tinctorium,Yellowstone National Park,246,Vascular Plant,"Marsh Bedstraw, Stiff Marsh Bedstraw",
3323,Galium tinctorium,Bryce National Park,119,Vascular Plant,"Marsh Bedstraw, Stiff Marsh Bedstraw",
3324,Agrimonia rostellata,Yosemite National Park,148,Vascular Plant,"Beaked Agrimony, Woodland Agrimony",
3325,Agrimonia rostellata,Great Smoky Mountains National Park,116,Vascular Plant,"Beaked Agrimony, Woodland Agrimony",
3326,Agrimonia rostellata,Bryce National Park,101,Vascular Plant,"Beaked Agrimony, Woodland Agrimony",
3327,Agrimonia rostellata,Yellowstone National Park,249,Vascular Plant,"Beaked Agrimony, Woodland Agrimony",
3328,Melica aristata,Great Smoky Mountains National Park,101,Vascular Plant,"Bearded Melicgrass, Bearded Oniongrass",
3329,Melica aristata,Yosemite National Park,158,Vascular Plant,"Bearded Melicgrass, Bearded Oniongrass",
3330,Melica aristata,Yellowstone National Park,246,Vascular Plant,"Bearded Melicgrass, Bearded Oniongrass",
3331,Melica aristata,Bryce National Park,106,Vascular Plant,"Bearded Melicgrass, Bearded Oniongrass",
3332,Ribes nevadense,Bryce National Park,116,Vascular Plant,Sierra Currant,
3333,Ribes nevadense,Yellowstone National Park,278,Vascular Plant,Sierra Currant,
3334,Ribes nevadense,Yosemite National Park,131,Vascular Plant,Sierra Currant,
3335,Ribes nevadense,Great Smoky Mountains National Park,105,Vascular Plant,Sierra Currant,
3336,Melica harfordii,Yosemite National Park,140,Vascular Plant,Harford's Oniongrass,
3337,Melica harfordii,Great Smoky Mountains National Park,64,Vascular Plant,Harford's Oniongrass,
3338,Melica harfordii,Yellowstone National Park,220,Vascular Plant,Harford's Oniongrass,
3339,Melica harfordii,Bryce National Park,119,Vascular Plant,Harford's Oniongrass,
3340,Bromus tectorum,Great Smoky Mountains National Park,43,Vascular Plant,"Bromegrass, Cheat Grass",
3341,Bromus tectorum,Great Smoky Mountains National Park,43,Vascular Plant,"Cheat Grass, Cheatgrass, Downy Brome, Early Chess, Military Grass, Wild Oats",
3342,Bromus tectorum,Yellowstone National Park,249,Vascular Plant,"Bromegrass, Cheat Grass",
3343,Bromus tectorum,Yellowstone National Park,249,Vascular Plant,"Cheat Grass, Cheatgrass, Downy Brome, Early Chess, Military Grass, Wild Oats",
3344,Bromus tectorum,Great Smoky Mountains National Park,48,Vascular Plant,"Bromegrass, Cheat Grass",
3345,Bromus tectorum,Great Smoky Mountains National Park,48,Vascular Plant,"Cheat Grass, Cheatgrass, Downy Brome, Early Chess, Military Grass, Wild Oats",
3346,Bromus tectorum,Yosemite National Park,97,Vascular Plant,"Bromegrass, Cheat Grass",
3347,Bromus tectorum,Yosemite National Park,97,Vascular Plant,"Cheat Grass, Cheatgrass, Downy Brome, Early Chess, Military Grass, Wild Oats",
3348,Bromus tectorum,Yellowstone National Park,277,Vascular Plant,"Bromegrass, Cheat Grass",
3349,Bromus tectorum,Yellowstone National Park,277,Vascular Plant,"Cheat Grass, Cheatgrass, Downy Brome, Early Chess, Military Grass, Wild Oats",
3350,Bromus tectorum,Bryce National Park,113,Vascular Plant,"Bromegrass, Cheat Grass",
3351,Bromus tectorum,Bryce National Park,113,Vascular Plant,"Cheat Grass, Cheatgrass, Downy Brome, Early Chess, Military Grass, Wild Oats",
3352,Bromus tectorum,Yosemite National Park,160,Vascular Plant,"Bromegrass, Cheat Grass",
3353,Bromus tectorum,Yosemite National Park,160,Vascular Plant,"Cheat Grass, Cheatgrass, Downy Brome, Early Chess, Military Grass, Wild Oats",
3354,Bromus tectorum,Bryce National Park,111,Vascular Plant,"Bromegrass, Cheat Grass",
3355,Bromus tectorum,Bryce National Park,111,Vascular Plant,"Cheat Grass, Cheatgrass, Downy Brome, Early Chess, Military Grass, Wild Oats",
3356,Humulus lupulus,Yellowstone National Park,215,Vascular Plant,"Common Hop, Common Hops, Hops",
3357,Humulus lupulus,Great Smoky Mountains National Park,89,Vascular Plant,"Common Hop, Common Hops, Hops",
3358,Humulus lupulus,Yosemite National Park,115,Vascular Plant,"Common Hop, Common Hops, Hops",
3359,Humulus lupulus,Bryce National Park,105,Vascular Plant,"Common Hop, Common Hops, Hops",
3360,Sparganium emersum,Great Smoky Mountains National Park,75,Vascular Plant,European Bur-Reed,
3361,Sparganium emersum,Bryce National Park,113,Vascular Plant,European Bur-Reed,
3362,Sparganium emersum,Yellowstone National Park,262,Vascular Plant,European Bur-Reed,
3363,Sparganium emersum,Yosemite National Park,164,Vascular Plant,European Bur-Reed,
3364,Ctenidium molluscum,Great Smoky Mountains National Park,52,Nonvascular Plant,Mollusc Ctenidium Moss,
3365,Ctenidium molluscum,Yellowstone National Park,260,Nonvascular Plant,Mollusc Ctenidium Moss,
3366,Ctenidium molluscum,Yosemite National Park,151,Nonvascular Plant,Mollusc Ctenidium Moss,
3367,Ctenidium molluscum,Bryce National Park,142,Nonvascular Plant,Mollusc Ctenidium Moss,
3368,Thermopsis fraxinifolia,Great Smoky Mountains National Park,79,Vascular Plant,Bush-Pea,
3369,Thermopsis fraxinifolia,Yellowstone National Park,272,Vascular Plant,Bush-Pea,
3370,Thermopsis fraxinifolia,Yosemite National Park,175,Vascular Plant,Bush-Pea,
3371,Thermopsis fraxinifolia,Bryce National Park,116,Vascular Plant,Bush-Pea,
3372,Cryptantha fendleri,Bryce National Park,112,Vascular Plant,"Fendler's Cryptantha, Sanddune Catseye, Sanddune Cryptantha",
3373,Cryptantha fendleri,Yosemite National Park,121,Vascular Plant,"Fendler's Cryptantha, Sanddune Catseye, Sanddune Cryptantha",
3374,Cryptantha fendleri,Great Smoky Mountains National Park,80,Vascular Plant,"Fendler's Cryptantha, Sanddune Catseye, Sanddune Cryptantha",
3375,Cryptantha fendleri,Yellowstone National Park,316,Vascular Plant,"Fendler's Cryptantha, Sanddune Catseye, Sanddune Cryptantha",
3376,Rubus alumnus,Yosemite National Park,156,Vascular Plant,"A Bramble, Blackberry",
3377,Rubus alumnus,Great Smoky Mountains National Park,62,Vascular Plant,"A Bramble, Blackberry",
3378,Rubus alumnus,Bryce National Park,91,Vascular Plant,"A Bramble, Blackberry",
3379,Rubus alumnus,Yellowstone National Park,253,Vascular Plant,"A Bramble, Blackberry",
3380,Rana catesbeiana,Great Smoky Mountains National Park,88,Amphibian,American Bullfrog,
3381,Rana catesbeiana,Great Smoky Mountains National Park,88,Amphibian,"American Bullfrog, Bullfrog",
3382,Rana catesbeiana,Bryce National Park,57,Amphibian,American Bullfrog,
3383,Rana catesbeiana,Bryce National Park,57,Amphibian,"American Bullfrog, Bullfrog",
3384,Rana catesbeiana,Great Smoky Mountains National Park,81,Amphibian,American Bullfrog,
3385,Rana catesbeiana,Great Smoky Mountains National Park,81,Amphibian,"American Bullfrog, Bullfrog",
3386,Rana catesbeiana,Yellowstone National Park,240,Amphibian,American Bullfrog,
3387,Rana catesbeiana,Yellowstone National Park,240,Amphibian,"American Bullfrog, Bullfrog",
